,Name,Score,Qty
0,Milk (Fat Free),True,298
1,Retinyl Palmitate,True,352
2,Vitamin D3,True,342
3,Acesulphame Potassium (950),False,1
4,Acidophilus,False,3
5,Artificial Colors,False,6
6,Ascorbyl Palmitate (304),False,1
7,Bacillus Coagulans,False,1
8,Bifidobacterium,False,4
9,"Calcium Phosphate (Mono, Di and Tri Basic) (341)",False,1
10,Carrageenan (407),False,10
11,DHA Algal Oil,False,1
12,Dried Milk (Fat Free),False,4
13,Fat,False,4
14,Guar Gum (412),False,1
15,Lactase,False,13
16,Lactobacillus Acidophilus,False,1
17,Locust Bean or Carob Bean Gum (410),False,1
18,Milk,False,5
19,Milk (Fat Free) (Organic),False,57
20,milk (low fat),False,2
21,Milk (Organic),False,8
22,Milk (Pasteurized),False,1
23,Milk (Sweetened) (Fat Free),False,1
24,Milk Solids (Fat Free),False,1
25,Milk Solids (Fat Free) (Organic),False,2
26,Milk Solids (Reduced Fat),False,1
27,Natural Flavor,False,8
28,Sodium Ascorbate (301),False,1
29,Sucralose (955),False,1
30,Tricalcium Phosphate (341iii),False,4
31,Vitamin A,False,12
32,Vitamin B12,False,1
33,Vitamin B3,False,1
34,Vitamin B6,False,1
35,Vitamin C,False,12
36,Vitamin D,False,13
37,Vitamin D2,False,5
38,Vitamin E (Tocopherol) (306),False,2
